,Time(sec),PID,PNAME,CPU(%),NUM THREADS,MEMORY(MB),MEMORY(%),read_count,write_count,read_bytes,write_bytes
262,22.718017101287842,17792,chrome.exe,0.00,18,170.602,1.06,17913,20085,12998127,9434714
263,22.718017101287842,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
264,22.718017101287842,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
265,22.718017101287842,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
266,22.718017101287842,17208,chrome.exe,0.00,17,82.445,0.51,2315,3069,1389524,3370018
267,22.718017101287842,16816,WmiPrvSE.exe,0.00,10,18.621,0.12,1,0,10599,0
268,22.718017101287842,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
269,22.718017101287842,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
270,22.718017101287842,16140,chrome.exe,0.00,16,59.086,0.37,1018,815,500748,156688
271,22.718017101287842,16008,chrome.exe,0.00,17,95.020,0.59,29996,33183,10995438,61057466
272,22.718017101287842,15896,svchost.exe,0.00,5,16.152,0.1,17,17,1828,2456
273,24.443089485168457,0,Total,28.76,8,0.008,0.0,0,0,0,0
274,24.443089485168457,4988,MsMpEng.exe,12.14,20,189.578,1.18,613988,10658,14342088162,420061775
275,24.443089485168457,18244,python.exe,9.36,17,89.020,0.55,1453,3,14682932,492
276,24.443089485168457,6508,Zoom.exe,3.79,76,359.879,2.23,4232,1604,69880307,215802
277,24.443089485168457,14816,audiodg.exe,0.86,9,60.359,0.37,4,0,11945,0
278,24.443089485168457,13512,svchost.exe,0.86,16,35.664,0.22,947,0,3882202,0
279,24.443089485168457,8692,powershell.exe,0.39,19,167.680,1.04,408,2,2724868,120
280,24.443089485168457,4468,svchost.exe,0.34,21,24.309,0.15,10073,3143,82246028,26038980
281,24.443089485168457,1392,dwm.exe,0.28,15,112.434,0.7,146258,0,1534672,0
282,24.443089485168457,17792,chrome.exe,0.00,18,170.602,1.06,17914,20086,12998695,9435482
283,24.443089485168457,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
284,24.443089485168457,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
285,24.443089485168457,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
286,24.443089485168457,17208,chrome.exe,0.00,17,82.445,0.51,2315,3069,1389524,3370018
287,24.443089485168457,16816,WmiPrvSE.exe,0.00,10,18.625,0.12,1,0,10599,0
288,24.443089485168457,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
289,24.443089485168457,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
290,24.443089485168457,16140,chrome.exe,0.00,16,59.086,0.37,1018,815,500748,156688
291,24.443089485168457,16008,chrome.exe,0.00,17,95.020,0.59,29996,33183,10995438,61057466
292,24.443089485168457,15896,svchost.exe,0.00,5,16.152,0.1,17,17,1828,2456
293,24.443089485168457,15872,msedge.exe,0.00,8,11.188,0.07,21,15,1424,180
294,26.15751004219055,0,Total,29.97,8,0.008,0.0,0,0,0,0
295,26.15751004219055,4988,MsMpEng.exe,12.50,20,189.547,1.18,625045,10658,14342176618,420061775
